S,"select RC.DIFF_BOO, RC.REF_1_RECORD, RC.REF_1_AMT, RC.REF_2_RECORD, RC.REF_2_AMT, RC.REF_3_RECORD, RC.REF_3_AMT, RC.REF_3_RECORD, BR.BATCH_STATE, BR.PROCESS_STATUS from PMDB..PM_PREPAID_BATCH_RECONCILE RC inner join PMDB..PM_PREPAID_LOAD_BATCH BR on (RC.BATCH_ID = BR.BATCH_ID)  inner join PMDB..PM_RECONCILE_MAPPING M on (RC.RECONCILE_ID = M.RECONCILE_ID) where BR.ORDER_ID = @order_id",
F,DIFF_BOO,Y
F,REF_1_RECORD,0
F,REF_1_AMT,0.00
F,REF_2_RECORD,1
F,REF_2_AMT,3.07
F,REF_3_RECORD,1
F,REF_3_AMT,3.07
F,BATCH_STATE,R
F,PROCESS_STATUS,SC
